[Mourad\145\Firm\Closed\BDS01738.txt]
1200 samples
60 Markov chains

(1,7)(1,3)(1,2)(1,1)(1,2)(1,4)(1,4)(1,6)(2,6)(2,5)(2,3)(2,5)(2,4)(1,3)(1,3)(1,4)(1,3)(1,3)(1,5)(2,7)(2,10)
(2,10)(2,8)(1,4)(1,2)(1,2)(1,5)(1,5)(1,6)(2,8)(1,6)(1,4)(1,4)(2,6)(2,8)(2,9)(1,6)(1,4)(1,3)(1,4)(1,6)(1,7)
(1,7)(1,5)(1,4)(1,3)(1,3)(1,3)(1,6)(1,10)(1,9)(1,6)(1,6)(1,2)(2,5)(1,7)(1,8)(1,8)(1,6)(1,3)(1,2)(1,3)(1,6)
(1,6)(1,7)(1,8)(1,6)(1,5)(1,4)(1,4)(1,3)(1,5)(1,5)(1,5)(1,8)(1,8)(1,7)(1,4)(1,1)(1,3)(1,5)(2,9)(1,7)(1,5)
(1,5)(1,2)(1,3)(1,4)(1,5)(1,5)(1,4)(1,4)(1,2)(1,2)(1,1)(1,2)(1,3)(1,4)(1,4)(1,4)(1,2)(1,1)(1,2)(1,3)(1,4)
(1,4)(1,5)(1,3)(1,2)(1,2)(1,3)(1,3)(1,3)(1,4)(1,5)(1,5)(1,4)(1,2)(1,1)(1,2)(1,2)(1,3)(1,3)(1,5)(1,5)(1,5)
(1,5)(1,5)(2,6)(4,4)(1,3)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,3)(2,7)(2,9)(1,7)(1,5)(1,4)(1,4)(1,5)(1,5)(1,5)
(1,5)(5,6)(6,7)(1,6)(1,4)(1,4)(1,4)(2,5)(2,7)(2,9)(2,9)(1,6)(1,2)(1,1)(1,2)(1,2)(1,3)(1,5)(1,6)(1,5)(1,5)
(1,5)(1,6)(1,6)(1,5)(1,3)(1,1)(1,3)(1,5)(1,4)(1,5)(1,6)(1,5)(1,4)(2,4)(2,3)(2,3)(1,2)(1,3)(1,2)(2,2)(1,2)
(1,2)(1,3)(1,4)(1,2)(1,1)(1,1)(1,2)(1,3)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,2)(1,3)(1,3)
(1,3)(1,3)(1,3)(1,2)(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,2)(1,2)(1,3)(1,4)(2,4)(2,4)(1,3)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,2)(2,4)(2,4)(1,3)(1,2)(1,1)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,2)(2,3)(2,3)(2,3)(1,3)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,2)(2,3)(2,3)(2,5)(1,4)(1,1)(1,2)(1,1)(1,2)(1,2)(1,3)(2,4)(3,3)(4,4)(1,3)(1,1)(3,4)(3,4)
(3,4)(2,4)(2,4)(1,2)(1,2)(1,4)(3,4)(5,3)(2,5)(1,6)(1,5)(1,3)(1,2)(1,1)(1,3)(1,3)(1,3)(1,4)(1,5)(5,5)(2,3)
(2,3)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(2,2)(2,3)(2,2)
(2,2)(1,2)(1,1)(1,1)(1,2)(2,3)(1,1)(1,1)(2,2)(3,2)(2,3)(1,2)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)
(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(2,2)(2,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,3)(3,3)(2,2)(1,1)(1,2)(2,3)(1,2)(1,2)(1,2)(1,1)(1,2)(1,1)(1,2)(1,3)(1,2)(1,1)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(2,3)(1,3)(1,2)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)
(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(1,3)(1,2)(1,3)(1,3)
(1,3)(1,2)(1,2)(1,3)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,3)(1,4)(1,4)(2,4)(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,3)(1,3)(1,2)(1,3)(1,3)(1,2)
(1,2)(1,4)(1,3)(1,2)(1,2)(1,1)(1,1)(1,2)(2,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,3)(1,2)(1,1)(1,1)(1,2)(1,1)
(1,1)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(10,3)(1,2)(1,1)(1,2)(3,2)(8,3)(1,3)(1,3)(1,3)
(1,3)(1,2)(1,2)(1,3)(1,2)(1,3)(1,3)(1,4)(1,2)(1,1)(1,2)(1,3)(1,3)(1,3)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,1)(1,2)(1,1)(1,1)(1,3)(1,4)(1,4)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)
(1,2)(1,3)(1,3)(1,2)(1,2)(1,1)(1,2)(1,4)(1,4)(1,5)(1,4)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,4)(1,3)(1,3)(1,3)
(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,1)(1,1)(1,2)(1,3)(1,3)(1,2)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)
(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,3)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,1)
(1,1)(1,1)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(2,1)(1,1)(1,2)(1,2)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,4)
(1,4)(1,4)(1,3)(1,2)(1,1)(1,1)(1,2)(1,3)(1,4)(1,4)(1,5)(1,5)(1,5)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,3)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,3)(1,4)(1,4)(1,4)(1,3)(1,2)(1,1)(1,1)(2,2)(9,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(2,1)(3,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,2)(1,3)(1,3)
(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,2)
(1,2)(1,2)(1,2)(1,2)(8,2)(5,1)(1,1)(1,1)(1,1)(2,2)(2,2)(1,1)(1,2)(1,2)(2,3)(1,3)(1,3)(1,2)(1,3)(1,3)(1,2)
(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,3)
(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,2)(1,1)(1,2)(1,3)(1,3)
(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,4)(1,6)(1,2)(1,1)(1,3)(1,4)(1,4)
(1,4)(1,4)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,3)(1,2)(1,1)(1,1)(1,2)(1,3)(1,3)(1,2)(1,2)(1,3)(1,3)(1,3)
(1,3)(1,4)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,2)(1,2)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,2)(1,1)(1,2)(1,2)(1,3)(1,2)(1,3)
(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)
(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(1,1)
__________________________________________________________________________________________
